"Time","Contracts","Funding Interval","Funding Rate"
"2022-10-12 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-12 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-11 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-11 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-11 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-10 17:00:00","BTCUSDT Perpetual","8h","0.006069%"
"2022-10-10 09:00:00","BTCUSDT Perpetual","8h","0.006240%"
"2022-10-10 01:00:00","BTCUSDT Perpetual","8h","0.001951%"
"2022-10-09 17:00:00","BTCUSDT Perpetual","8h","0.001776%"
"2022-10-09 09:00:00","BTCUSDT Perpetual","8h","0.003245%"
"2022-10-09 01:00:00","BTCUSDT Perpetual","8h","0.004149%"
"2022-10-08 17:00:00","BTCUSDT Perpetual","8h","0.007345%"
"2022-10-08 09:00:00","BTCUSDT Perpetual","8h","0.003850%"
"2022-10-08 01:00:00","BTCUSDT Perpetual","8h","0.007513%"
"2022-10-07 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-07 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-07 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-06 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-06 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-06 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-05 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-05 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-05 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-04 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-04 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-04 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-03 17:00:00","BTCUSDT Perpetual","8h","0.008316%"
"2022-10-03 09:00:00","BTCUSDT Perpetual","8h","0.003995%"
"2022-10-03 01:00:00","BTCUSDT Perpetual","8h","0.005384%"
"2022-10-02 17:00:00","BTCUSDT Perpetual","8h","0.005816%"
"2022-10-02 09:00:00","BTCUSDT Perpetual","8h","0.004262%"
"2022-10-02 01:00:00","BTCUSDT Perpetual","8h","0.007004%"
"2022-10-01 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-10-01 09:00:00","BTCUSDT Perpetual","8h","0.003198%"
"2022-10-01 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-30 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-30 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2022-09-30 01:00:00","BTCUSDT Perpetual","8h","0.006685%"
"2022-09-29 17:00:00","BTCUSDT Perpetual","8h","0.007640%"
